text,label
Nice service.....,2
"All is good 👍 
Staff is good 💯 
Service is fine 
",2
Need proper application form and  Need to cross check by your team account holder details befor opening account in online/offline.,0
Good Process and features ,2
Good ,2
Idfc first bank  ka app very smooth ,2
  Pin card ,0
 ATM apply online,1
 Bank khate ki Jama Rashi kam rakhen,0
My interaction with your branch Manager Rahul was really good from a customer experience point. Hope my relationship with IDFC First Bank  continues.,2
Nothing,1
Ok,1
नहीं ,1
Clearly maintain this is not zero account this bank is zero free chargers ,0
Overall good,2
Good ,2
" I have relationship with sbi icici hdfc ,but I must say I liked everything about idfc that I will rate I higher than all other banks , extremely easy to use Mobile app..keep going..bring new technologies ",2
no thanks,1
" IDFC Bank account kholne me IDFC Bank ke employees ne mujhe bahut hi achche se or bahut hi aasaani se , IDFC Bank me account kholne me meri help ki .me IDFC FIRST BANK ka or IDFC FIRST BANK ke sabhi employees ko  dhanyawad kahata hu .mujhe bahut khusi he ki me IDFC FIRST BANK ka hissa hu . THANK you so much IDFC FIRST BANK.",2
"No, thank you. ",2
Everything is perfect ,2
હા તમે welcome kit માં પાસ બુક નથી આપતા અને ડેબિટ કાર્ડ પણ નામ માં ભૂલ કરી છે કોઈ પર્સનલ વસ્તુ માં તમે નામ માં કેવી રીત ભૂલ કરી શકો તો મને મારા નામ નું નવું ડેબિટ કાર્ડ આપવા વિનંતી ,2
Please open some branches of your bank in rural areas .,0
All good Branch staff was good,2
Ok Good ,2
Ok,1
Nice account ,2
In your 10k account could be better debit card like  first select debit card.,2
"Good service 
",2
 Nothing else ,1
No i think your app looks best in class. ,2
excellent services,2
" મને આપની બેકનુ કામ ખુબજ સરસ લાગ્યું
",1
"














Need to provide account features and benefits 
pdf document.









",2
Excellent ,2
Good bank and services,2
Initially the direct link for video KYC was not working. I've to re-login in order to complete my KYC. Else everything was great.,0
Good ,2
Superb experience ,2
International and domestic lounge access without spending limitations of credit card will have  better for us,0
"No
",1
"The loan was transferred, IDFC First Bank, which is compulsory saving account for installment cut, is a little strange, it is also strange to maintain a balance of ten thousand, if someone has the same money then why will he take the loan.",0
Aapki vikas puri branch ke employee shayad nitin naam hai....bahut badtameez hain...  Unhe badal do bas.....   Baaki sab ok hai...thank you 🙏,0
"
Very fantastic 
Be detailed, specific, and honest
",2
"Good service 
",2
Good service ,2
0 बैलेंस से अकाउंट मे कोय प्रोब्लम तो ni होगी ना ,0
"Good
",2
Excellent service ,2
Excellent ,2
0 இருப்பாக மாற்றி தரும்படி விண்ணப்பிக்க வேண்டும் ,1
1 mobile number could not be added in 2 accounts.,0
Mr. Mohan Annanagar deputy Manager did excellent job with good follow up tii opening SA related activities. ,2
No,1
No,1
Nothing ,1
"1. डिजिटल एटीएम कार्ड एक्टिवेशन ताकि डिजिटल कार्ड के द्वारा पेमेंट हो सके और फिजिकल एटीएम कार्ड की आने तक इंतजार ना करना पड़े।
2. फैमिली मेंबर्स के नाम के साथ जॉइंट अकाउंट भी खुल जाए तो बहुत अच्छा रहता।",1
Good,2
Can you decrease Rs.for account opening ?,2
"1] Free CIBIL
2] Lifetime free demat amc
3] More Rewards redemption options
4] More Cashback options
5] Stock Trading ",1
Certain parts of KYC can be automated and picked up from central database. ,0
Good ,2
Good service ,2
Account opening service is excellent keep it up,2
Ok,1
"Great experience, banking from the comforts of home has become a truth. But nowadays i am having same expectations from other banks but they don't deliver like IDFC FIRST BANK. This disappointed me",2
Your executive by the name Shraddha who works in the Chembur Branch has been really helpful throughout the process. I loved her attitude and behaviour. There is nothing else required to improve the experience provided by the bank.,0
Single Serial No. For single request ID that could be tracked through the app for the particular account. ,2
1st tell me reason to why I am unable to do transaction,0
9417692634 change the number 888721-88434,0
A lot needs to improve. the list is so big I don't want to write all details.,0
Everything looks good so far!,2
"Please change my account maintenance balance. 
",0
A moment of joyful and happiness with your bank management ,0
10,1
All good ,2
