text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
my branch is km away from where i live what if i need to visit to bank for cheque and any other reasons i will have to travel to km from my house thats problematic and inconvenience for me also it was not specified that i am getting branch that far from my house otherwise i wouldnt have opened the account,banking,0,1,9,0,4,0
your promote yourself as online banking but that doesnt work branch doesnt allow us to open k mab account almost convinces us for k mab account i wanted a joint account but they made it single and the nd partner is not yet added week has passed i would have choosen other bank over this pathetic services,banking,0,1,11,0,0,2
nothing needs to be improved you people are doing great job by providing such easy process of account opening believe me i have experienced many private and public sector banks account opening process but the smooth process here i experienced was the first of its kind in my life thank you idfc first,banking,2,2,5,2,5,0
everything was good except the kyc during pm was terrible call got disconnected times i couldnt complete tried after pm it was smooth also one more issue was with blue dart delivery guys attitude is too much they are arrogant they have sent back my debit card now i have to place the request again,banking,0,1,7,0,1,3
best bank i have ever opend my bank account into because you guys give the checkbook and atm as soon as we open account this is the best thing and there was no delay in opening upi because i can set my card pin in my banking thats a great feature thank you for you service and the best part this is all free that excites the people most,banking,2,0,7,0,5,0
i dont wanted to open an account but ended up opening an account because of your system i wanted only loan not account that too mim balance if i have money then why should go for loan and end of the day i didt got my loan also pl dont fool people by opening an account in the name of loan i will never ever recommend idfc to anybody,banking,0,1,2,0,1,3
i visited kothapet branch hyderabad with a request to convert my savings account to salary account the staff over there guided me patiently with suitable information like what documents should be submitted im pleased with the staff at the branch and the mobile banking app is very quick and amazing and i can pay directly without using other sources like phone pay or google pay,banking,2,1,3,0,5,0
the experience of opening a savings account with idfc first bank was excellent the process was smooth quick and userfriendly the staff was supportive and guided me well through each step i really appreciate the digital options and the transparency throughout honestly i cant think of anything that needs improvementit was a seamless experience,banking,2,2,3,2,5,0
i am an existing idfc first bank select credit card customer and i got an option on my idfc first bank app to open this zero balance savings account with auto pay option enabled for credit card repayment the opening of account was very quick and smooth however when i received the welcome kit it only contained my debit card while the covering letter mentioned that itll contain a debit card and cheque book id request your concerned team to clearly mention what all actually come with the welcome kit along with a check list for future new customers of your bank,banking,1,3,2,1,4,0
when i visit city centre branch of gwalior i wanted a future first student saving account but the employee working there tells that that dont offer such saving account but they offer pratham account so i unfortunately have to open the pratham account but i wish i could get future first student saving account,banking,0,1,11,1,4,0
account opening process can be improved instead of bank informing me of the way out for the issue which was resulted due to poor account opening process it was me the client how had to call the customer care and narrate the whole issue to them and then still wait for the end resolution,banking,0,1,6,0,4,0
the people from the bank are very supportive the agent came multiple times to my office to get my work done i like this aspect he even bought one manager to make myself understand about the benefits and perks having said that i was little disappointed with forex card process due to miscommunication,banking,1,3,3,1,1,2
my talk for the family accounts as first wealth account and amb for all account altogether lakh one account opend as first wealth and as normal account one account in process and process of remaining yet to start now branch official calling us and make presuure to deposit lakh first to move normal account in first wealth and use harsh word relationship manager blamed me for lying and branch head also pressured for higher deposits,banking,0,0,9,1,4,0
my kyc for the nre account was verified and i received the new account kit however the account remained frozen for another days and the debit card took an additional days to activate it would be helpful if such delays were reduced or at least communicated more clearly in advance also jp attestation info was not clearly mentioned on the website,banking,1,0,7,0,4,0
vedio kyc immpresed me badlay whole best system of the bank failure by the kyc department non professional and bad software no voice even after all permission allowed by me in my samsung galaxy ultra s even still my kyc not done as complaint on mobile even my relationship manager mrlamba abhishek,banking,0,1,6,0,4,0
relationship manager allocation kyc completion and debit card activation pending after account opening,banking,1,0,7,0,4,0
ivr should directly connect customers to an agent instead of looping options,banking,1,5,13,1,4,0
need proactive communication especially for nri customers when india number is unreachable,banking,1,3,13,1,4,0
just be honest about offers and commitments made during onboarding,banking,1,5,11,1,4,0
upi payments should work seamlessly without failures,banking,1,5,13,1,4,0
minimum average balance of is too high and should be reduced,banking,1,5,8,1,4,0
bank should reduce minimum balance requirement and add more atms and cash deposit machines,banking,1,5,7,1,4,0
mobile banking face id logs in automatically and should require manual confirmation for security,banking,1,5,13,1,4,0
technologybased services like first tap should be improved continuously,banking,1,5,13,1,4,0
option to choose nearest branch during account opening should be provided,banking,1,5,9,1,4,1
account branch selection was unclear and customer should be allowed to choose preferred branch,banking,1,5,9,1,4,1
need credit card option for education and highlimit usage,banking,1,5,2,1,4,0
allow single mobile number and email for multiple family accounts especially senior citizens,banking,1,5,13,1,4,0
facilities should be extended to all pin codes nearby areas are covered but permanent address is not,banking,1,5,13,1,4,0
issues and tickets raised should be resolved faster,banking,1,1,13,0,4,0
debit card features and card variants are not clearly explained,banking,1,5,7,1,4,0
account activation process was slightly difficult,banking,1,3,13,1,4,0
