text,sentiment,customer_intent,primary_aspect,aspect_flag
happy but one day late delivery,1,0,0,delay
delivery agent did not contact or visit,0,0,3,behaviour
no thanx,1,1,4,fallback_support
staff name mentioned,1,1,4,fallback_support
return process clear and complete,1,2,7,refund
name only,1,1,4,fallback_support
delivery boy behaviour bad,0,0,3,behaviour
damaged product return my order,0,0,2,damage_lost
minimise gap between out for delivery and delivery,1,1,4,fallback_support
great experience exceeded expectations,2,2,4,fallback_support
delivery marked delivered but not received,1,1,2,damage_lost
received duplicate product fraud,0,0,4,fallback_support
delivery person polite kind,2,2,4,fallback_support
asked to collect parcel midway,0,0,4,fallback_support
delivery boy demanded money misbehaved refused floor delivery,0,0,3,behaviour
delivery guy reached my location exactly,1,1,4,fallback_support
received parcel after delay,1,0,0,delay
received on time extremely happy,2,2,4,fallback_support
delivery person tampered property caught on cctv,0,0,2,damage_lost
very bad service forced office pickup,0,0,4,fallback_support
delivery not at doorstep handed to security,0,0,4,fallback_support
very happy with otp and kyc verification process,2,2,4,fallback_support
scammed need refund,1,0,7,refund
product found to be fake,0,0,4,fallback_support
account activation delayed for four days after welcome kit no update provided,0,0,0,delay
delivery boy humble and fast,2,2,4,fallback_support
vinayak gaikwad very good delivery person,2,2,4,fallback_support
delivery my product,1,1,4,fallback_support
delivery guy rude grumpy and impatient,0,0,3,behaviour
aapka service mujhe accha laga,2,2,4,fallback_support
return order,1,1,7,refund
good professional delivery person,2,2,4,fallback_support
delivery boy very good,2,2,4,fallback_support
did not receive order,0,0,2,damage_lost
delivery boy very respectful,1,1,4,fallback_support
received different product from what was ordered,0,0,4,fallback_support
delivery made to different address with proof,1,1,4,fallback_support
priority order delayed,1,0,0,delay
product not delivered to location had to visit office,0,0,4,fallback_support
teach delivery boy how to talk properly,1,1,4,fallback_support
please cancel my order,1,1,4,fallback_support
delivery partner took extra money when customer unavailable,0,0,4,fallback_support
keep up the good work,2,2,4,fallback_support
good delivery experience first time,2,2,4,fallback_support
very polite person,2,2,4,fallback_support
delayed,1,0,0,delay
not deliver in actual location,1,1,4,fallback_support
very good service prompt delivery,2,2,4,fallback_support
received different product,0,0,4,fallback_support
please confirm on call after confirm address,1,1,4,support
fake parcel cardboard inside,0,0,4,fallback_support
bahut bekar service,1,1,4,fallback_support
delivery executive supportive rescheduled properly,2,2,4,support
refused to deliver to floor,1,1,4,fallback_support
no phone call from delivery person marked consignee unavailable extremely poor process,0,0,4,support
delivery person reluctant for upper floor,0,0,4,fallback_support
dont argue with customer give some time,1,1,4,fallback_support
delivery contact details required,1,1,4,support
wrong address wrong person delivery issue,0,0,1,wrong_delivery
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bankâs commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",2,2,4,support
delivery status updated without delivery,1,1,4,fallback_support
order for return,1,1,7,refund
documents handled carefully,1,1,4,fallback_support
packages delivered successfully without issue,2,0,4,fallback_support
great,2,2,4,fallback_support
delivery staff soft spoken but recipient absent,1,1,4,fallback_support
delivery guy refused stairs pickup,1,1,4,fallback_support
The choice of branch could have been provided to the customer,1,1,4,fallback_support
ordered expensive item got cheap one,0,0,4,fallback_support
very bad nandanam chennai branch,0,0,4,fallback_support
false address update forced office pickup,0,0,4,fallback_support
parcel delayed and spoiled at destination hub,1,0,0,delay
service not available in village,0,0,4,fallback_support
not this watch,1,1,4,fallback_support
not my shipment someone used my number,1,1,4,fallback_support
all good but product quality not good,1,2,4,fallback_support
false delivered sms without receipt,1,1,4,fallback_support
wrong product received twice fraud,0,0,4,fallback_support
KYC not working RM not responsive,0,0,4,fallback_support
would like return this product a it not at all work please help me out reach with it,1,1,7,refund
very poor service delayed delivery,0,0,0,delay
request for low balance account option,1,1,4,fallback_support
nice service,2,2,4,fallback_support
unable receive call but delivery completed,1,1,4,support
Item has been changed,0,0,4,fallback_support
delivery partner call me even before he reach destination,1,1,4,support
ordered one but delivered two refused return,0,0,7,refund
very prompt delivery executive,2,2,4,fallback_support
excellent service provider package delivered within a day of placing order,2,2,4,fallback_support
already best,2,2,4,fallback_support
delivery delay again,1,0,0,delay
no issues during delivery,1,0,4,fallback_support
delivery staff did not return balance amount,0,0,7,refund
rude delivery guy,0,0,3,behaviour
top class service very polite behaviour delivery executive very knowledgeable highly satisfy with his service,2,2,3,behaviour
partial order received,0,0,4,fallback_support
received earlier than expected,1,1,4,fallback_support
keep moving forward,1,1,4,fallback_support
miss my rosemary water,1,1,4,fallback_support
delivery arrived without call,1,1,4,support
courier not received very bad,0,0,2,damage_lost
exact delivery time should be informed,1,1,4,fallback_support
very fast good service,2,2,4,fallback_support
ok,1,1,4,fallback_support
delivery charge taken despite free delivery,1,1,4,fallback_support
delivery smooth experience,2,2,4,fallback_support
no need cheaters parcel take for delivery ensure check before accept,1,1,4,fallback_support
average service,1,1,4,fallback_support
very good experience overall,2,2,4,fallback_support
collect my parcel at office,1,1,4,fallback_support
delivery person polite professional,1,1,4,fallback_support
not delivering at right place but marked delivered,0,0,4,fallback_support
service poor,0,0,4,fallback_support
delivery confirmation sent without actual delivery,0,0,4,fallback_support
delivery agent asked for OTP but did not hand over parcel,0,0,4,fallback_support
shipment not delivered by delivery staff,0,0,4,fallback_support
rude behaviour of delivery person abusive foul language use very unpleasant experience,0,0,3,behaviour
delivery boy rough language,1,1,4,fallback_support
superb fast delivery,2,2,4,fallback_support
best service,2,2,4,fallback_support
wrong item delivered customer deceived,0,0,4,fallback_support
yes before opening account branch staff promised visit but never came online process was smooth,1,2,4,fallback_support
already good,2,2,4,fallback_support
bad experience,0,0,4,fallback_support
very bad experience from blue dart,0,0,4,fallback_support
blue dart delayed delivery despite parcel reaching hub,0,0,0,delay
medicine delivery delayed false excuse,0,0,0,delay
tracking good delivery speed needs improvement,1,2,5,tracking
delivery boy harassed customer,1,1,4,fallback_support
delivery agent was rude aggressive and ill mannered very disappointed,0,0,3,behaviour
delivery boy refused home delivery forced hub pickup,0,0,4,fallback_support
parcel not delivered yet,0,0,0,delay
what we order it not come totally different it come plss take this order we want other item,0,0,4,fallback_support
nice product,2,2,4,fallback_support
very poor delivery service,0,0,4,fallback_support
delivery nice express good delivery,2,2,4,fallback_support
please give tracking update in arattai app,1,1,5,tracking
delivery person not confirming recipient,1,1,4,fallback_support
provide delivery agent contact number,1,1,4,support
do not receive yet,1,1,4,fallback_support
delivery person honest but customer absent,1,1,4,fallback_support
bad service no home delivery credit card delay,0,0,0,delay
please mention expected delivery time in message,1,1,4,fallback_support
parcel undelivered due to false reason premise locked,0,0,4,fallback_support
very long time delivery bad,0,0,4,fallback_support
get my parcel on time extremely happy,2,2,4,fallback_support
delivery partner overloaded bike issue,1,0,4,fallback_support
flat number missing delivered at gate,1,0,4,fallback_support
great quick delivery with minimal calls,2,2,4,support
achcha,1,1,4,fallback_support
item received broken,1,1,2,damage_lost
delivery delayed no response after first call service bad,1,0,0,delay
reduce minimum balance requirement,1,1,4,fallback_support
behaviour not good and refused to wait for change,0,0,3,behaviour
product unsafe not working refund or exchange,1,0,7,refund
product color different from what was shown,0,0,4,fallback_support
received different sets instead of same color sets,1,1,4,fallback_support
delivery person courteous,2,2,4,fallback_support
fake jewellery wrong product delivered,0,0,4,fallback_support
receive in time,2,2,4,fallback_support
deliver wrong product,0,0,4,fallback_support
poor packaging and damaged handling,0,0,2,damage_lost
delivery staff polite timely,1,1,4,fallback_support
good timely service,2,2,4,fallback_support
packaging was proper,1,1,4,fallback_support
had to go for pickup no one answered calls at godown very upsetting,0,0,4,support
giod,1,1,4,fallback_support
delivery agent was rude and unreachable during duty hours,0,0,3,behaviour
extra charges taken very bad service,0,0,6,pricing
parcel thrown inside gate unacceptable behavior,0,0,3,behaviour
delivery on time with proper tracking update,2,2,5,tracking
it good,2,2,4,fallback_support
delivery person damaged doorbell by continuous pressing,0,0,2,damage_lost
shipment falsely marked undelivered twice,0,0,4,fallback_support
parcel not received very sad,0,0,2,damage_lost
delivery agent phone numbers not reachable,1,1,4,fallback_support
get wrong order,0,0,4,fallback_support
replacement required wrong product,1,0,7,refund
delivery process very bad forced to collect from office,0,0,4,fallback_support
perform more expectation,1,1,4,fallback_support
refused doorstep delivery asked to cancel,1,1,4,fallback_support
delivery very fast satisfied,2,2,4,fallback_support
delivery boy polite and helpful,2,2,4,fallback_support
order delayed more than a day repeatedly,1,0,0,delay
empty box received product missing,1,0,2,damage_lost
wrong parcel received,1,0,4,fallback_support
early delivery before expected,2,2,4,fallback_support
everything good keep it up,2,2,4,fallback_support
late delivery issue,0,0,0,delay
fraud waste product delivered refund money,0,0,7,refund
very very warst quality damage,0,0,2,damage_lost
unknown person received parcel,1,1,1,wrong_delivery
thanks for call,1,2,4,support
no information about delivery status,1,1,5,soft_tracking
wrong consignee remark incorrect attempt update,0,0,4,fallback_support
delivery boy refused address pickup office,0,0,4,fallback_support
If you call I will tell you 6205637767,1,1,4,support
already make order delay without contact customer mark that customer not available,0,0,0,delay
wrong and missing products received,0,0,4,fallback_support
delivery guy did not call before delivery,0,0,3,behaviour
one of the best services,2,2,4,fallback_support
good,1,2,4,fallback_support
excellent service by delivery staff,2,2,4,fallback_support
wrong jersey delivered,0,0,4,fallback_support
delivery agent disrespectful tone,0,0,4,fallback_support
delivery refused home delivery forced hub pickup,0,0,4,fallback_support
lovely delivery person,2,2,4,fallback_support
it ok,1,1,4,fallback_support
on time delivery,2,2,4,fallback_support
agent did not listen properly during validation and was in a hurry,0,0,4,fallback_support
delivery person delivered to wrong house and asked me to collect later,0,0,1,wrong_delivery
delivery boy misbehaved,1,1,3,behaviour
always outstanding,2,2,4,fallback_support
awesome delivery by bluedart thank you,2,2,4,fallback_support
COD change required suggestion,1,1,4,fallback_support
different shade received,1,1,4,fallback_support
additionally charge extra,0,0,4,fallback_support
missing item in parcel box,0,0,2,damage_lost
good no,1,2,4,fallback_support
no response from delivery boy,0,0,4,support
polite well behaved delivery person,1,1,4,fallback_support
delivery agent deny deliver at home,1,1,4,fallback_support
please provide delivery executive contact number,1,1,4,support
day before delivery thank you,2,2,4,fallback_support
call before delivery attempt,1,1,4,support
