text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment
happy but one day late delivery,1,0,0,delay,0
delivery agent did not contact or visit,0,0,3,behaviour,1
no thanx,1,1,4,fallback_support,1
staff name mentioned,1,1,4,fallback_support,1
return process clear and complete,1,2,7,refund,1
name only,1,1,4,fallback_support,1
delivery boy behaviour bad,0,0,3,behaviour,0
damaged product return my order,0,0,2,damage_lost,0
minimise gap between out for delivery and delivery,1,1,4,fallback_support,1
great experience exceeded expectations,2,2,4,fallback_support,2
delivery marked delivered but not received,1,1,2,damage_lost,0
received duplicate product fraud,0,0,4,fallback_support,1
delivery person polite kind,2,2,4,fallback_support,2
asked to collect parcel midway,0,0,4,fallback_support,1
delivery boy demanded money misbehaved refused floor delivery,0,0,3,behaviour,1
delivery guy reached my location exactly,1,1,4,fallback_support,1
received parcel after delay,1,0,0,delay,0
received on time extremely happy,2,2,4,fallback_support,2
delivery person tampered property caught on cctv,0,0,2,damage_lost,0
very bad service forced office pickup,0,0,4,fallback_support,0
delivery not at doorstep handed to security,0,0,4,fallback_support,1
very happy with otp and kyc verification process,2,2,4,fallback_support,2
scammed need refund,1,0,7,refund,1
product found to be fake,0,0,4,fallback_support,0
account activation delayed for four days after welcome kit no update provided,0,0,0,delay,0
delivery boy humble and fast,2,2,4,fallback_support,2
vinayak gaikwad very good delivery person,2,2,4,fallback_support,2
delivery my product,1,1,4,fallback_support,1
delivery guy rude grumpy and impatient,0,0,3,behaviour,0
aapka service mujhe accha laga,2,2,4,fallback_support,2
return order,1,1,7,refund,1
good professional delivery person,2,2,4,fallback_support,2
delivery boy very good,2,2,4,fallback_support,2
did not receive order,0,0,2,damage_lost,0
delivery boy very respectful,1,1,4,fallback_support,1
received different product from what was ordered,0,0,4,fallback_support,1
delivery made to different address with proof,1,1,4,fallback_support,1
priority order delayed,1,0,0,delay,0
product not delivered to location had to visit office,0,0,4,fallback_support,0
teach delivery boy how to talk properly,1,1,4,fallback_support,1
please cancel my order,1,1,4,fallback_support,1
delivery partner took extra money when customer unavailable,0,0,4,fallback_support,1
keep up the good work,2,2,4,fallback_support,2
good delivery experience first time,2,2,4,fallback_support,2
very polite person,2,2,4,fallback_support,2
delayed,1,0,0,delay,0
not deliver in actual location,1,1,4,fallback_support,1
very good service prompt delivery,2,2,4,fallback_support,2
received different product,0,0,4,fallback_support,1
please confirm on call after confirm address,1,1,4,support,1
fake parcel cardboard inside,0,0,4,fallback_support,0
bahut bekar service,1,1,4,fallback_support,1
delivery executive supportive rescheduled properly,2,2,4,support,2
refused to deliver to floor,1,1,4,fallback_support,1
no phone call from delivery person marked consignee unavailable extremely poor process,0,0,4,support,0
delivery person reluctant for upper floor,0,0,4,fallback_support,1
dont argue with customer give some time,1,1,4,fallback_support,1
delivery contact details required,1,1,4,support,1
wrong address wrong person delivery issue,0,0,1,wrong_delivery,0
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bankâs commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",2,2,4,support,2
delivery status updated without delivery,1,1,4,fallback_support,1
order for return,1,1,7,refund,1
documents handled carefully,1,1,4,fallback_support,1
packages delivered successfully without issue,2,0,4,fallback_support,0
great,2,2,4,fallback_support,2
delivery staff soft spoken but recipient absent,1,1,4,fallback_support,1
delivery guy refused stairs pickup,1,1,4,fallback_support,1
The choice of branch could have been provided to the customer,1,1,4,fallback_support,1
ordered expensive item got cheap one,0,0,4,fallback_support,1
very bad nandanam chennai branch,0,0,4,fallback_support,0
false address update forced office pickup,0,0,4,fallback_support,1
parcel delayed and spoiled at destination hub,1,0,0,delay,0
service not available in village,0,0,4,fallback_support,1
not this watch,1,1,4,fallback_support,1
not my shipment someone used my number,1,1,4,fallback_support,1
all good but product quality not good,1,2,4,fallback_support,2
false delivered sms without receipt,1,1,4,fallback_support,1
wrong product received twice fraud,0,0,4,fallback_support,0
KYC not working RM not responsive,0,0,4,fallback_support,1
would like return this product a it not at all work please help me out reach with it,1,1,7,refund,1
very poor service delayed delivery,0,0,0,delay,0
request for low balance account option,1,1,4,fallback_support,1
nice service,2,2,4,fallback_support,2
unable receive call but delivery completed,1,1,4,support,1
Item has been changed,0,0,4,fallback_support,1
delivery partner call me even before he reach destination,1,1,4,support,1
ordered one but delivered two refused return,0,0,7,refund,0
very prompt delivery executive,2,2,4,fallback_support,2
