text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
happy but one day late delivery,1,0,0,delay,0,1,1
delivery agent did not contact or visit,0,0,3,behaviour,1,0,2
no thanx,1,1,4,fallback_support,1,0,0
staff name mentioned,1,1,4,fallback_support,1,0,0
return process clear and complete,1,2,7,refund,1,0,0
name only,1,1,4,fallback_support,1,0,0
delivery boy behaviour bad,0,0,3,behaviour,0,3,2
damaged product return my order,0,0,2,damage_lost,0,4,3
minimise gap between out for delivery and delivery,1,1,4,fallback_support,1,0,0
great experience exceeded expectations,2,2,4,fallback_support,2,1,0
delivery marked delivered but not received,1,1,2,damage_lost,0,0,0
received duplicate product fraud,0,0,4,fallback_support,1,4,3
delivery person polite kind,2,2,4,fallback_support,2,1,0
asked to collect parcel midway,0,0,4,fallback_support,1,0,1
delivery boy demanded money misbehaved refused floor delivery,0,0,3,behaviour,1,0,2
delivery guy reached my location exactly,1,1,4,fallback_support,1,0,0
received parcel after delay,1,0,0,delay,0,2,2
received on time extremely happy,2,2,4,fallback_support,2,1,0
delivery person tampered property caught on cctv,0,0,2,damage_lost,0,4,3
very bad service forced office pickup,0,0,4,fallback_support,0,3,2
delivery not at doorstep handed to security,0,0,4,fallback_support,1,0,1
very happy with otp and kyc verification process,2,2,4,fallback_support,2,1,0
scammed need refund,1,0,7,refund,1,4,3
product found to be fake,0,0,4,fallback_support,0,3,2
account activation delayed for four days after welcome kit no update provided,0,0,0,delay,0,3,2
delivery boy humble and fast,2,2,4,fallback_support,2,1,0
vinayak gaikwad very good delivery person,2,2,4,fallback_support,2,1,0
delivery my product,1,1,4,fallback_support,1,0,0
delivery guy rude grumpy and impatient,0,0,3,behaviour,0,3,2
aapka service mujhe accha laga,2,2,4,fallback_support,2,1,0
return order,1,1,7,refund,1,0,0
good professional delivery person,2,2,4,fallback_support,2,1,0
delivery boy very good,2,2,4,fallback_support,2,1,0
did not receive order,0,0,2,damage_lost,0,4,3
delivery boy very respectful,1,1,4,fallback_support,1,0,0
received different product from what was ordered,0,0,4,fallback_support,1,0,1
delivery made to different address with proof,1,1,4,fallback_support,1,0,0
priority order delayed,1,0,0,delay,0,2,2
product not delivered to location had to visit office,0,0,4,fallback_support,0,3,2
teach delivery boy how to talk properly,1,1,4,fallback_support,1,0,0
please cancel my order,1,1,4,fallback_support,1,0,0
delivery partner took extra money when customer unavailable,0,0,4,fallback_support,1,0,1
keep up the good work,2,2,4,fallback_support,2,1,0
good delivery experience first time,2,2,4,fallback_support,2,1,0
very polite person,2,2,4,fallback_support,2,1,0
delayed,1,0,0,delay,0,2,2
not deliver in actual location,1,1,4,fallback_support,1,0,0
very good service prompt delivery,2,2,4,fallback_support,2,1,0
received different product,0,0,4,fallback_support,1,0,1
please confirm on call after confirm address,1,1,4,support,1,0,0
fake parcel cardboard inside,0,0,4,fallback_support,0,3,2
bahut bekar service,1,1,4,fallback_support,1,0,0
delivery executive supportive rescheduled properly,2,2,4,support,2,1,0
refused to deliver to floor,1,1,4,fallback_support,1,0,0
no phone call from delivery person marked consignee unavailable extremely poor process,0,0,4,support,0,3,2
delivery person reluctant for upper floor,0,0,4,fallback_support,1,0,1
dont argue with customer give some time,1,1,4,fallback_support,1,0,0
delivery contact details required,1,1,4,support,1,0,0
wrong address wrong person delivery issue,0,0,1,wrong_delivery,0,3,2
