text,label
Super ??? nice safe delivery for delivery boy 10?,2
Received wrong product I need that person number,0
Over all good person,2
My parcel was opened before delivery,0
Very Very  good,2
Courier man was extremely courteous,2
I am so glad full your service.,2
Good service as well as good behaviour of delivery staff.,2
Prompt delivery and informed and behaved politely. I like blue dart courier very much ?,2
Delivery delayed was supposed to be delivered a day prior moreover reason for delay is totally incorrect  as delivery by bluedart has been done on same address with same pincode on N number of occasions. Also there is no option of contacting the delivery hub. The number provided on website are hardly reachable at any point of time. It took me a good 60 minutes to get in touch with a customer care executive who did not had any information as well earning the contact number of local hub. Complete Dissapointment.,0
Nice good experience,2
Everything is excellent ??,2
Delivery guy is good. But delivery not provided exact address. I had to drive 2km to collect my order.  Why showing home delivery option when you do not provide parcel at home.,0
It was a smooth delivery and the brother delivering it was also nice and polite,2
Your services is best ?.,2
Nice  quality with headphone,2
It's too good . This product works very good well.,2
It was fast and effortless,2
I got wrong product and now the delivery guy blocked me .,0
I haven?t received the package?!? How can you send this to me ?,0
All Better courier service,2
Definitely good behaviour of couriour boy delivered on time,2
Prompt delivery.  Good enough ?,1
I received call prior to delivery. Continue this type of service,2
Delivery person was very rude and behave very badly just asked him to wait for 5 mins.,0
Neo hair lotion,1
Delevry fast and secure and sefly delivery,2
Very good delivery boy Manish Blue dart courier service and fast and secure service and time to delivery my location delivery boy Manish!!Thank you,2
Very good service by delivery boy.Very supportive,2
Rerun the product,0
Agent Tanisha was really good and friendly.,2
Duplicate karungali mala,0
Quick delivwry,2
Amazing service the delivery was done with minimal calling and accurately in correct location,2
I had a very smooth experience with the courier delivery partner. They were punctual,2
The experience was pretty good.,2
It would be really helpful to include an option that allows us to find out the contract number of the delivery person. This could make the process so much smoother for everyone involved.,1
Time should be maintained,1
Gury,1
Very Friendly and behaviour was good..,2
On time delivery in rainy season,2
Better delivery good boy,2
Nice service by tushar,2
Delivered Doc,1
Get better customer service,0
Very nice packing... excellent sarvice,2
I got fake oder,0
Good performing equipment very timely response,2
Blue dart staff very co operative ?,2
This is a Good person and fast delivery service,2
Excellent ? job good,2
Fast delivery and polite partner,2
Excellent.very helpful,2
Very bed behaviour of delivery boy,0
The package was marked as ?Out for Delivery? for two consecutive days,0
Delivary is not done on time. Parcel held for three days in ware house .worst service. Not satisfactory.,0
It's already the best.We can't 'better' the best.,2
Before one day of delivery please conform that customer is available  or not?,1
Happy for fast delivery,2
Service was okay.,1
Nice pruductsNd nice serviceOf bluedart.Tnx,2
Good person Timely delivery,2
The parcel wasn't delivered. I travelled 3 kms and collected the parcel. Worst Courier in Nagercoil.,0
Late sarvise,0
Blue dart delivery staff is good ?,2
Already doing a great job. Just continue. ?,2
The way of talking and behaviour was good,2
Delivery was done within time and the service provider was very polite.,2
I m happy with this,2
Not delivered my equipment,0
Blue Dart services are very very fine everywhere,2
Delivery person is good but consignment deliver timing is not good its delayed and because of that my work has been delayed because of bluedart,0
Very decient,2
I was not able to pickup the call due to a Mobile Problem ( Ringtone ) Still the DELIVERY MAN knocked on my doorstep and delivered it to me Successfully,2
Excellent service upto the point.,2
******* Excellent service,2
So nicely ??????????????,2
Product is. Damige plz  return to my product  iam so daid,0
Haven't received the parcel.no phone call received from delivery personal.to whom it was delivered,0
"Delivery man/person can add ""Thank you"" or ""Have a nice day"" after delivery",1
Thank you for calling before delivery of the parcel,2
It was supposed to get delivered on 20th may...I have received it today worst experience,0
V good ??????,2
NIL...,1
It's was all fine on the time of delivery,2
Service  was.good,2
Thank you so much for kotak Mahindra Bank servic,2
The shipment is not delivered and you are marking it as delivered. This is unfair,0
MD ASHARFUL,1
Thank you for good response,2
Xhxbcn nclhzm,1
Delevery is on time and correct place.,2
If approximate time period is given,1
Ailmuddin,1
Good gvcnncbhh,2
Great service by Rajiv Yadav,2
It is already attained the best service label,2
VERY EXCELLENT ?,2
Very good services & punctual,2
Superb m so glad.,2
Very good delivery service. Good delivery man . Thank you for ur good service,2
Delivery boy mst service,2
Very polite and patient:),2
???????? ??? ?????? ???? ?? ??? ?? ???? ???? ?? ??? ??? ???????? ??? ?????? ??? ?? ????? ???? ??? ?? ????? ?? ???? ???? ?? ????? ???? ??? ???? ?? ???? ???? ??? ?? ???? ????? ?? ???? ??? ?? ????-???? ?? ???? ?? ???? ??? ????? ?? ????? ?? ?? ???? ?????? ?? ?? ???? ????? ???? ??? ???? ?? ???? ????? ?? ?????? ??  699/- ???? ?????,1
I am very disappointed ?? with bluedart parcel delivery i was continuing calling but not got my parcel with my time,0
Delivery person is very polite and professional,2
You'r Doing well.,2
Experience was good with Blue Dart and delivery too,2
Super super ? parcel sarvice,2
Service quality is optimum and satisfying,2
Excellent executive n on time delivery!,2
Delivery time to time & very nice,2
We ordered 8 pieces but we received only 4 pieces. There is no detailed information about how to return the product,0
He is not come at delivery address He told me to came and picked up your parcel,0
You all are doing great!Keep it up,2
Important parcel not delivered and delivery agent mark it as completed.,0
Mobile number of delivery boy must be mentioned in delivery SMS,1
Not delivered  two daysI went and collect,0
Sir prodak chenj he muje Ritan karna he,0
Well presentable amd professional service ! Well done and keep it up !,2
This T shirt are broken also not same colour please. I want to change ..,0
Now no need to improve.. it's all good,2
Patient and considerate delivery,2
Ek hi no. Service,2
Delivery person was friendly and co operativeTimely Delivered,2
Ye delivery wla bhai shi bt or delivery wla shi se baat nhi kr rha hai ye problem,0
Services were superb,2
Dilevery boy asked otp before delevery,2
Thanks for delivered my order on time,2
best service blue dart is always best,2
It?s a fast service,2
The delivery agent was kind and well spoken . No complaints ?.,2
all great minimal calling,2
Very good product . thank you,2
The delivery executive has visited multiple times and by now he knows everyone at my house but still he double checks before delivering. Either he strictly follows SOP or something else,1
Timings best,2
The delivery staff was very friendly. I haven't seen such a nice delivery person nowadays....Keep it up,2
You guys are amezing ??you don't need to improve yourself... you're Perfect ??,2
Good Sevicce,2
I suggest you to make the delivery faster,1
It is successfully ? okay okay. But out of 10,1
Hiiiiiiiiii,1
Good  On time,2
He was politely and Looks Professional,2
Easy delivery process,2
The delivery guy didn't deliver door step.,0
the service was satisfactory,1
Excellent so fart di,2
Good costumer service,2
I did not receive my package and the status showed as delivered I demand a call from your team.Kindly resolve this issue at the earliest,0
I didn't receive any courier yet how you people give a confirmation,0
Professional services.... Thank u,2
Nice guy .,2
Time to time delivery & better cordinate with politely speak.,2
I got the incorrect package,0
The delivere boy was awsom,2
You guy?s are working with fraud company they haven?t provided what i ordered now no return policy is followed and payment was cod and your delivery partner asked payment on his personal qr code. Kindly look into this matter,0
Well behaved keep it up,2
The delivery  executive  was polite and waited for me to collect the parcel.,2
very decent staff,2
Better indication of approx time of arrival,1
Maha chutya company kisi k pass koi details nhi hoti,0
Delivery date got postponed,0
Before the time I got my parcel,2
Nice person have good knowledge delevery man,2
Coming so early for delivery so please send after 11 am as we are seniors ok ? Please make a note of our requestThanks,1
Should do doorstep delivery like others,1
Delivery boy behaviour is soo good and I like the delivery time ??,2
The delivery was delayed too much. Had to reach out to the local office to get it.,0
very good person delivery man behaviour is very good,2
I got my card delivered after 10 day that too I went directly to the blue dart warehouse to collect it. Service is pathetic,0
I am orde mens ware but you give me ladies ware,0
Blue dart very pathetic service,0
Reached the location easily without much calls. And delivered on time.,2
They don't deliver at my location. They dilivery 10 km away from my home,0
Thank you Blue dart Express ??,2
Good behaviour & communication,2
Delivery partner was humble and able identify the address.,2
I will definitely choose blue dart in the future too,2
Delivery executive was so polite & co operative.Impressed!,2
excellent excellent good job excellent excellent work excellent excellent,2
Great delivery service but if I could track my shipment on map it would have been great,1
Product delivered 1 day late than date shown on website,0
Products is change,0
Very cool man,2
Respectful behavioir,2
Main order was delayed by 12 days,0
Nice person who delivered item,2
Tuptup Bag,1
Good service. Polite and helpful delivery personnel. Keep it up,2
Delivery boy behaviour is so good.....nice mind-blowing service,2
My order was delay and I was unable to connect to customer service,0
Very prompt service and the delivery guy came without any problem.,2
Delivery staff is very humble ?,2
The delivery person didn?t come to my house and instead asked me to come to a spot a little away,0
Excellent service thnks nykaa for the lovely gift?,2
I received the package in sealed condition.,2
Good mannarism,2
