text,label
parcel not deliver tomethere nosanjay here,negative
guy not his sens,neutral
good,neutral
good,neutral
delay service,neutral
very late delivery receive,negative
how return my order,neutral
wait for address for minimum two attempt,neutral
lovely,positive
yes,neutral
late delivery service,negative
parcel open,neutral
self,neutral
excellent,positive
bad way of navigating even talk customer wouldnt recommend it anyone,negative
do,neutral
hv not receive package,neutral
nice,neutral
do not receive my order,negative
outstanding,neutral
nice,neutral
awesome delivery by bluedart thank you,positive
good service,positive
it ok,neutral
good,neutral
The delivery person is very rude and doesn't know how to talk respectfully. He thinks just calling someone sir or madam is being respectful.,negative
nic,neutral
good delivery,positive
very bad service delivery agent attitude very arrogant rude reason for non delivery on incorrect overall this isnt expect from repute company such a blue dart,negative
straight home,neutral
a at work my sister pick up my parcel she couldnt reach me on call so he have wait for just mins delivery partner rude my sister a say cancel order dont expect this from bluedart delivery atleast,negative
good,neutral
good timely service,positive
delivery person very kind friendly he bring order on time at my desk,positive
all good,neutral
aapka service mujhe accha laga,neutral
stupid very bad product earing missingcheating return my product,negative
not deliver,neutral
your delivery boy fraud,negative
definitely,neutral
best service very good hospitality,positive
very bed behaviour,neutral
good service,positive
get msg that it deliver today morning but get product by pm,neutral
office jake lena pada service ekdam galat hai,neutral
fast delivery,neutral
bluedart delivery staff not deliver at my addresshe call me at other location which from my current addressi tell him that deliver at my current address then he say that your current address bluedart dont deliver at that location as well a say that if you dont come then submit this item in hdfc bank,neutral
delivery man polite humble,neutral
what we order it not come totally different it come plss take this order we want other item,neutral
bad service ever,negative
koi nhi aaya dene address par blue dart office ja ke lana pada bahut bekar sarvice he,neutral
very delayed,neutral
delivery speedy smooth,neutral
get message delivery out but not receive any article please check out with delivery person contact me below number mobi,neutral
good,neutral
they didnt deliver my package me go their office collect it because get message that they deliver my package everyday for last week they didnt deliver it,negative
we havent receive parcel,negative
bad experience,negative
delevery boy very good person deliver on time,positive
good service,positive
Thankyou ,positive
excellent work,positive
delivery agent extremely polite he deserve appraisal,positive
okay,neutral
paracel not receive,neutral
apt on time,neutral
good processional courier service,positive
do,neutral
inform u if u dont find right address contact u on our contact number which give on our order,neutral
tamara sarvesh thik nathiii ohk,neutral
delayed,neutral
great service a always,positive
nice,neutral
on time,neutral
good service,positive
very good,positive
recieved only one piece instead of two piecesvery disappoint,negative
It was a pleasant experience ,positive
very fast service thank you,positive
service very good,positive
medicine order delay by day no communication that order delay,neutral
parcel leave with gate man in different block of this complex it should deliver my flat,neutral
box damage,neutral
delivery slat for sat st nov why delayed please find out,neutral
No,neutral
good,neutral
courier not receive,neutral
very poor,negative
there nothing improve,neutral
it good,positive
very long time delivery bad,negative
excellent,positive
H,neutral
good,neutral
very good,positive
"No Thanks
",neutral
good,neutral
allocate time slot for delivery morning,neutral
want return my order,neutral
pleased ndc,positive
havent receive any thing till now,neutral
please advise delivery executive wear helmet,neutral
item not receive,neutral
people not reach at mentioned address atleast didnt get call from delivery agent when check status it mention a address invalid which deliver other shipment same address in past which clearly say that negligence of service finally step in office location get card,negative
