text,label
delay service,1
delay service,1
very late delivery receive,0
late delivery service,0
excellent,2
bad way of navigating even talk customer wouldnt recommend it anyone,0
awesome delivery by bluedart thank you,2
good service,2
The delivery person is very rude and doesn't know how to talk respectfully. He thinks just calling someone sir or madam is being respectful.,0
very bad service delivery agent attitude very arrogant rude reason for non delivery on incorrect overall this isnt expect from repute company such a blue dart,0
very bad service delivery agent attitude very arrogant rude reason for non delivery on incorrect overall this isnt expect from repute company such a blue dart,0
a at work my sister pick up my parcel she couldnt reach me on call so he have wait for just mins delivery partner rude my sister a say cancel order dont expect this from bluedart delivery atleast,0
good timely service,2
delivery person very kind friendly he bring order on time at my desk,2
aapka service mujhe accha laga,2
stupid very bad product earing missingcheating return my product,0
not deliver,0
your delivery boy fraud,0
best service very good hospitality,2
very bed behaviour,1
get msg that it deliver today morning but get product by pm,0
office jake lena pada service ekdam galat hai,0
bluedart delivery staff not deliver at my addresshe call me at other location which from my current addressi tell him that deliver at my current address then he say that your current address bluedart dont deliver at that location as well a say that if you dont come then submit this item in hdfc bank,0
delivery man polite humble,2
what we order it not come totally different it come plss take this order we want other item,0
koi nhi aaya dene address par blue dart office ja ke lana pada bahut bekar sarvice he,0
delivery speedy smooth,2
get message delivery out but not receive any article please check out with delivery person contact me below number mobi,1
they didnt deliver my package me go their office collect it because get message that they deliver my package everyday for last week they didnt deliver it,0
we havent receive parcel,0
bad experience,0
office jake lena pada service ekdam galat hai,0
delayed,1
medicine order delay by day no communication that order delay,0
parcel leave with gate man in different block of this complex it should deliver my flat,0
box damage,0
delivery slat for sat st nov why delayed please find out,0
courier not receive,0
very long time delivery bad,0
havent receive any thing till now,0
people not reach at mentioned address atleast didnt get call from delivery agent when check status it mention a address invalid which deliver other shipment same address in past which clearly say that negligence of service finally step in office location get card,0
parcel not deliver but msg receive with deliver,0
it take more than minute after approval of entry campus deliver package package deliver with out collect otp otp send me after delivery of package,1
parcel deliver but not receive at give address nice communication good,1
not receive my order,0
delivery person very cooperative,2
delivery time very late,0
improve delivery timing,1
poor communication high price very late delivery,0
he do not deliver parcel no phone call he do go office collect parcel,0
not deliver but sms recieved delivered dont know why,0
nothing much requiredall good,2
receive on time but minor request if possible then please share number of delivery person when package out for delivery,1
Communication with customer is not good in kothapet branch ,0
this very poor irresponsible service receive my courier after fifteen day,0
contact you but you dont updated address of your delivery hub in my hometown upon ask for number of any executive present here tell thats it personal can not share provide my number yet delivery executive dial just one number which didnt even connect he straight away reschedule delivery attempt next which holiday get know after reach hubthese many flaw do frustrate me quite well,0
delay sevice,0
im very happy,2
have reject this delivery first time delivery boy again come delivery without my consent because have some other shipment also come from bluedart he ask me otp an give it now suffer loss because accord shipper policy on accepted this can not refund,0
thank you bhaiya,2
didnt receive package my address change,0
very nice delivery,2
fast delivery good service,2
delivery delay wrong comment add,0
no word,1
improve your customer service,1
didnt receive any material,0
shipment prompt but one item miss in parcel,0
deliver on time iam happy,2
mera order mujhe nhi mila,0
additionally charge extra,0
please try deliver on time,1
very good service,2
not receive yet,1
your executive ask for aadhar card of receive person,1
take too much time deliver orderdelayed delivery,0
perfect,2
service smooth person who deliver shipment very humble polite,2
blue dart best service provider,2
product bilkul bekar aya h mne kya suit mangaya tha or kya aya h bilkul suit alg or salwar plz return kariye,0
service not well,0
late delivery very rd class service delivery not door door service delivery boy say take your parcel near by location not deliver at adress,0
polite behaviour timely delivery item with not any disturbance,2
take time reach me but packaging really worth it love your effort for me,2
didnt receive my order,0
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bankâ€™s commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",2
More transparency about the offer and reflecting same on the screen. No where it is mentioned about non compliance of offer. Not sure whether offer is valid and applied ,1
More transparency about the offer and reflecting same on the screen. No where it is mentioned about non compliance of offer. Not sure whether offer is valid and applied ,1
fantastic service get my parcel day before delivery date,1
delivery staff good but issue out of delivery msg come at pm order deliver at pm,1
delivery boy friendly,1
no manner talk eldersneed improve interaction behaviour which cant insult client especially senior,0
very very warst quality damage,0
worst delivery agent,0
delivery time very late day,0
every delivery person should speak politely,1
not receive these parcel who send them what address you deliver them some fraud go on,0
since you already customer connect ensure notify him on wa or through call so that he she would availablegood receive my both courier today itself,0
I need tamil customer service and tamil customer care executive ,1
order say deliver but do not get it,0
Credit card and online banking facilities should be offered . ,1
do not get callmsg by delivery persondid not receive product,0
best service but lete deliverd,1
sir this rong item how can return this not my order,0
delivery person toorude not ready give parcel on my behalf,0
awesome delevery experience,2
service of local agent very poor they wait day deliver that too after contact them,0
delivery boy not polite,0
Keep updated about the tracking status,1
blu dart service emp very good service good approach,2
delivery agent behaves so rude,0
self recived parcel,1
guy very innocent humble while he give my parcel so these kind of people your organization need,2
awsome service from blue dart courier,2
it very nice rate thank you team divine hindu blue dart team,2
