text,label,confidence
delivery on time good tracking update,positive,0.8847193717956543
have order shirt,neutral,0.7350478172302246
Your service is fine. Behave of your staff is really cordial. No need to change it any way. However,positive,0.8851398229598999
very bad experience from blue dart,negative,0.9630228281021118
dint get delivery,neutral,0.512625515460968
very good service,positive,0.9318373799324036
delivery person a not call still not receive product this very bad,negative,0.9537280797958374
return this order,neutral,0.8001291751861572
my parcel deliver on time,neutral,0.6435709595680237
good prompt service,positive,0.8275281190872192
delivery status wrong it wrongfully make didnt get any callus dont mg phone,negative,0.9328423142433167
good,neutral,0.6630253791809082
nothing much,neutral,0.6706289649009705
very bad service,negative,0.9438402652740479
receive,neutral,0.714394211769104
receive my order away from my order location thank god he around there on time,positive,0.8280119299888611
yes,neutral,0.44127699732780457
provide valid information to coustmors,neutral,0.7591255903244019
good,neutral,0.6630253791809082
cooperative,neutral,0.6192005276679993
courier guy didnt come door insist come out from building pick courier,neutral,0.5261372923851013
you deliver shipment break it day late your delivery boy mention incorrect update upto three time this shipment that deliver twice both time it it a break what joke you run,negative,0.7852631211280823
scope for improvement in online kyc verification,neutral,0.7556551098823547
good,neutral,0.6630253791809082
excellent,positive,0.9086722731590271
verry verry bakwas service,neutral,0.8114644885063171
your service very good thank you,positive,0.9854139089584351
prompt polite delivery person,neutral,0.568017303943634
good man good behavior,positive,0.8985294699668884
very bad clothh,negative,0.8850236535072327
pathetic experience,neutral,0.7716647982597351
service worst he newly join in blue dart think delivery person ask customer where it what give address for location in that location stay nearly minute,neutral,0.5151123404502869
not receive my order,negative,0.7445043325424194
good,neutral,0.6630253791809082
one more back cover case miss,neutral,0.7436172366142273
payment could not do due network issue,negative,0.8937908411026001
take whole day deliver product,neutral,0.7346158027648926
fast delivery against last all order,neutral,0.7000404000282288
good,neutral,0.6630253791809082
good,neutral,0.6630253791809082
good boy,positive,0.8935654163360596
improve,neutral,0.4623907506465912
very late delivery,negative,0.7693880796432495
try faster delivery time,neutral,0.7045638561248779
kindly behaviour of delivery boy,neutral,0.6785414218902588
delivery staffthe delivery staff do not deliver check book my house they keep talk about give it someone else keep talk about call me on road bring it back they misbehave with me,negative,0.91485595703125
packaging in place,neutral,0.7540717124938965
good,neutral,0.6630253791809082
not deliver my my mention address collect my order somewhere it wasnt convince for me have ur service,negative,0.881921112537384
my expect delivery date plan for november person mention that he on leave last day hence delay,neutral,0.6143602132797241
call for direction deliver intact,neutral,0.7485595941543579
good,neutral,0.6630253791809082
do,neutral,0.5157424807548523
professional delivery,neutral,0.6485813856124878
mujhe parcel receive nahin hua hai,neutral,0.6787608861923218
receive my parcel on time,neutral,0.7229743599891663
my package get delay without any information receive package after day once it receive near delivery station,neutral,0.6550692915916443
Too toxic. They are not allowed to come my delivery address. They said that pick up your item from there. They warm me and said that if you don't they blocked my Amazon account. They don't know the delivery rules and they are not right person for delivery agent. Please remove these types of the peoples.,negative,0.9542954564094543
expect delivery date not meet,neutral,0.5586509108543396
good,neutral,0.6630253791809082
good service,positive,0.8297358751296997
thnx,neutral,0.628255307674408
good service,positive,0.8297358751296997
satisfy with service,neutral,0.68172287940979
good service,positive,0.8297358751296997
nothing,neutral,0.5349960327148438
Too late service...This parsal must receive on Wednesday. Booking charge of this parsal was urgent basis..& charged Rs.1000....,neutral,0.6672509908676147
good service,positive,0.8297358751296997
good,neutral,0.6630253791809082
didnt receive my item but sms say it deliver now couldnt able contact anyone,negative,0.8998396992683411
rude behaviour,negative,0.8331948518753052
nice,neutral,0.6387196779251099
excellent serviceg,positive,0.931693971157074
2 polite attitude,neutral,0.6169186234474182
yes,neutral,0.44127699732780457
good,neutral,0.6630253791809082
good,neutral,0.6630253791809082
thanks,neutral,0.5764604210853577
leave packet outside move out what if it get steal,neutral,0.6431431174278259
please call before deliver product didnt receive product message show that it deliver kindly check,neutral,0.5201422572135925
wrong item deliver,negative,0.7777615785598755
Everything is good keep it up 😊👍🏻,positive,0.9734898805618286
Bajaj Company In One Sixty,neutral,0.8946328163146973
very good,positive,0.9482112526893616
"Though Video KYC process was a good thought out process, following can be improved.
1. The first agent who connected was impatient and rushing me hard and disconnected before it ended. She didn’t bother to call back to complete the process. I felt like she disconnected because of me unable to meet her hurried timings. The second agent handled it very smooth and I am very appreciative of her way of working. Thanks to her.
2. I gave a number for this account as primary contact but unfortunately account was created with a different number which is the number in Adhar card. When I asked to change, agent asked me to contact customer care. When I approached customer care, he told no can only be changed after a month. I have to wait for a month before start transactions in my account. Can something be done?",neutral,0.41595882177352905
rate pant finishing,neutral,0.7488853931427002
delivery at door,neutral,0.7357432246208191
my number wrongly update with company,neutral,0.6211389899253845
fast service from bluedart delivery boy too,positive,0.7190338373184204
consignment deliver on st it urgent but arrive on rd nov,neutral,0.889094352722168
delivery person didnt contact leave my parcel keep reschedule without even contact,negative,0.7264216542243958
super fast one day delivery awesome delivery staff reach right location without any assistance polite good approach,positive,0.9473729133605957
good,neutral,0.6630253791809082
no responsible office man,neutral,0.6699909567832947
best,neutral,0.45735740661621094
mrsathish antony service excellent,positive,0.895566999912262
do not make otp mandatory at time of delivery,neutral,0.5018413066864014
transparency in status update on website if you go for pickup shipper hadnt keep packet readyit should mark pickup attempt shipment not ready,neutral,0.530990719795227
very good,positive,0.9482112526893616
self receive in ge,neutral,0.8035074472427368
"It was a great experience as the services received were very satisfying and exceeded our expectations. Special mention for Ms Bhumi who was readily available in providing instant support wherever required. Wish all the best
",positive,0.9904114603996277
"Worst banking service
Third class service",negative,0.9240179061889648
consignment not receive,neutral,0.5314854383468628
it fake parcel which have not order for kindly trace fraud return my money back,negative,0.8593933582305908
they come my address not even call my number simply they raise attempt deliver miss delivery,negative,0.7425118088722229
Keep it up,positive,0.7444937825202942
deliver talk rudely,negative,0.8659095764160156
good,neutral,0.6630253791809082
good delivery,positive,0.8127566576004028
very good service,positive,0.9318373799324036
very good delivery,positive,0.9263280034065247
parcel not deliveredhe take it back,neutral,0.6161531209945679
horrible service,negative,0.9768064618110657
mera order bhot late aya pls age se jldi lagega baki service acchi hai,neutral,0.5887745022773743
Good,neutral,0.609778642654419
kamilqureshigmailcom,neutral,0.8435382843017578
good responsibility,neutral,0.6603720188140869
good,neutral,0.6630253791809082
hvcuchuc,neutral,0.6123586297035217
item miss,neutral,0.5195786952972412
good,neutral,0.6630253791809082
very bad service,negative,0.9438402652740479
good,neutral,0.6630253791809082
hsudu,neutral,0.515476405620575
a suggestion kindly instruct your vadodara gujarat branch person try deliver a possible thanks overall good service,positive,0.7325619459152222
Company has cheated on us and product send by them is not which is shown in picture. This is fraud,negative,0.959852933883667
receive damage screen monitor,neutral,0.7354874610900879
okay,neutral,0.5066952109336853
not receive any order,neutral,0.6344801783561707
deliver perfectly before time,neutral,0.5449323654174805
nice experience,positive,0.9003534317016602
give delivery home not in other village,neutral,0.7552488446235657
not receive my product,negative,0.7274478673934937
not receive parcel,neutral,0.5949524641036987
Good communications and super response so like this bank ,positive,0.9426701068878174
delivery late by day although it reach on time,neutral,0.752477765083313
gret job thank,positive,0.8023757338523865
excellent service,positive,0.9300705790519714
fast delivery,neutral,0.5395807027816772
rude person,negative,0.8689590096473694
parcel not receive deliver wrong person,negative,0.808704137802124
good,neutral,0.6630253791809082
good,neutral,0.6630253791809082
very very bad experience with bluedart bluedart real cheating company with out attempt for delivery not even phone,negative,0.9762504696846008
delayed,neutral,0.5989682078361511
very good,positive,0.9482112526893616
cant receive parcel till today november than your msg me track no delivery date nov pm receive by kiranbhai,neutral,0.61162930727005
good courier service,positive,0.809674859046936
physician reasonable sized customer of blue dart for over year my supply come from mumbai add deliver in hour,neutral,0.8386023640632629
Heramb is the best RM,positive,0.9319921731948853
Good ,positive,0.736822247505188
well service,neutral,0.5158586502075195
nothing,neutral,0.5349960327148438
hdjsksk,neutral,0.5930700898170471
no unnecessary call prompt delivery,neutral,0.6229748725891113
bad quality material not satisfy,negative,0.9199069142341614
delivery boy rude,negative,0.8799707293510437
this shirt so nyc,neutral,0.5754748582839966
shipment he call another place for delivery,neutral,0.8200846910476685
very bad delivery no response from delivery boy,negative,0.9499802589416504
good,neutral,0.6630253791809082
good,neutral,0.6630253791809082
very good service,positive,0.9318373799324036
good,neutral,0.6630253791809082
worst ever,negative,0.916420578956604
good service,positive,0.8297358751296997
good service on time,positive,0.9020179510116577
good,neutral,0.6630253791809082
not applicable,negative,0.7106922268867493
hello sir delivery nahi mila hai,neutral,0.7824437618255615
good service,positive,0.8297358751296997
reliable,neutral,0.5585746169090271
friendliness professionalism,neutral,0.6966078281402588
rewari blue dart courier service very bad my friend mention my address put parcel blue dart accept by my address blue dart management tell me our service not available your village why he receive parcel,negative,0.8928115367889404
good service,positive,0.8297358751296997
nothing,neutral,0.5349960327148438
batter this sarvis,neutral,0.7244986295700073
delivery guy didnt even call me receive message it deliver,negative,0.7328091859817505
do not receive yet,neutral,0.6636795401573181
dont receive any call,neutral,0.6735849380493164
delivery boy decent deliver on time request share delivery boy number in advance so that we should not wait for full day we can call him ask for time of arrival,neutral,0.5996201634407043
product miss,neutral,0.4941698908805847
